dialogueID (PK),dialogueRef,speaker,dialogueText,canRespond,noResponseLink,response1,response1Link,response2,response2Link
D00001,SHOP,FrogShop,Welcome to my Frog Shop# ribbit!,TRUE,0,Enter Shop,SHOP,Talk,D00002
D00002,SHOP,FrogShop,Haven't seen many people around here.,FALSE,D00003,0,0,0,0
D00003,SHOP,FrogShop,There's a lot of flies though.,FALSE,D00004,0,0,0,0
D00004,SHOP,FrogShop,I like flies.,TRUE,0,...Okay?,QUIT,That's interesting,QUIT
D00005,TUTORIAL,SirK9,Welcome# young Evan. I am Sir K9# your guide and mentor in the ways of knighthood.,FALSE,D00006,0,0,0,0
D00006,TUTORIAL,SirK9,Here# you will learn to wield your sword# master your skills# and discover the true meaning of courage.,TRUE,0,Thank you# Sir K9. I'm ready to learn and grow.,D00007,I don't need anyone's help# especially not from a... dog.,D00008
D00007,TUTORIAL,SirK9,Your task now is to defeat the first dungeon. There# you will face your first true test towards knighthood.,FALSE,QUIT,0,0,0,0
D00008,TUTORIAL,SirK9,I don't appreciate the attitude. Your task is to defeat the first dungeon.,FALSE,QUIT,0,0,0,0
D00009,D1COMPLETE,SirK9,Well done# Evan. You have conquered the first of many challenges. Your skills are improving.,TRUE,0,That was just a warm-up. I'm eager to face more challenges.,D00010,That was just a warm-up. I NEED to become stronger!,D00011
D00010,D1COMPLETE,SirK9,Glad to hear that. With that said# proceed on to the next dungeon. Take caution Evan.,FALSE,QUIT,0,0,0,0
D00011,D1COMPLETE,SirK9,What drives you so fiercely?,TRUE,0,It's personal. Let's just say I have a score to settle with a certain type of creature.,D00012,It's personal. I'll share more when I'm ready.,D00013
D00012,D1COMPLETE,SirK9,What type of creature is this?,TRUE,0,A DOG!,D00013,Something that resembles a dog.,D00013
D00013,D1COMPLETE,SirK9,I see. Remember# the path of the knight is not just about strength but also about understanding and growth.,FALSE,QUIT,0,0,0,0
D00014,D2COMPLETE,SirK9,Evan# your progress is impressive. You move with purpose and determination.,TRUE,0,It's all thanks to your training# Sir K9. I'm grateful.,D00015,It's all thanks to your training. Maybe you're not so bad for a dog.,D00015
D00015,D2COMPLETE,SirK9,There is a story behind every warrior. Tell me Evan# why do you harbor such animosity towards dogs?,TRUE,0,When I was young# a dog stole my lunch. From that day on# I vowed to eradicate the one responsible.,D00016,I rather not say still...,D00017
D00016,D2COMPLETE,SirK9,A single incident has shaped your destiny. Perhaps there is more to learn from this journey than you realize.,FALSE,D00017,0,0,0,0
D00017,D2COMPLETE,SirK9,Well# enough talking. Let us proceed with your training. Head on in to the third dungeon.,FALSE,QUIT,0,0,0,0
,,SirK9,,,,,,,
D00018,D3COMPLETE,SirK9,Evan# you continue to surpass my expectations. Each challenge you overcome brings you closer to your goal.,TRUE,0,I'm getting stronger# but I know I still have much to learn.,D00019,I'm getting stronger# but I need much more strength to fulfil my mission. ,D00019
D00019,D3COMPLETE,SirK9,Strength alone is not enough# Evan. You must also learn to see beyond your past and understand the true essence of knighthood.,TRUE,0,I understand# Sir K9. I will try to let go of my anger.,D00020,I can't shake the feeling that you know more about my past.,D00021
D00020,D3COMPLETE,SirK9,Your final challenge awaits in the Catacombs. Face it with the courage and wisdom you have gained. Remember# a true knight is defined by his actions and his heart.,FALSE,QUIT,0,0,0,0
D00021,D3COMPLETE,SirK9,I don't know what you're talking about. Proceed to the last dungeon.,FALSE,QUIT,0,0,0,0
D00022,D4COMPLETE,SirK9,Evan# you have come far. You have faced many challenges and emerged victorious each time. Now# it is time you know the truth.,TRUE,0,...Okay?,D00023,0,0
D00023,D4COMPLETE,SirK9,Because it is time you face your greatest challenge. Evan# I am the dog who stole your lunch.,TRUE,0,I forgive you# Sir K9. I see now that it was meant to help me grow.,D00024,So# it was you who betrayed me. I will defeat you and prove my strength!,D00026
D00024,D4COMPLETE,SirK9,You have truly learned what it means to be a knight. As a reward# I want you to have this.,FALSE,D00025,0,0,0,0
D00025,D4COMPLETE,SirK9,Now# go on young one. The world is your oyster.,FALSE,QUIT,0,0,0,0
D00026,D4COMPLETE,SirK9,Urgh.. You have defeated me Evan.. I hope you are nowable to let go of the anger within you.,FALSE,D00027,0,0,0,0
D00027,D4COMPLETE,Player,No.. what have I done... I was wrong Sir K9.,FALSE,D00028,0,0,0,0
D00028,D4COMPLETE,SirK9,I was young back then too# I shouldn't have stole your lunch. I.. hope.. you.. will forgive... me...,FALSE,D00029,0,0,0,0
D00029,D4COMPLETE,Player,NOOOOOOOO!,FALSE,QUIT,0,0,0,0
