enemyID (PK),enemyName,enemyHP,enemyDamage,enemyMoveSpeed,enemyDefence,enemySprite,goldDrop,extraSkill
ENEM00001,TAINTED COCKROACH,100,10,1,10,Assets/Images/Monster/Dungeon1/taintedcockroach.png,1,0
ENEM00002,SOLIDER ANT,150,15,1,10,Assets/Images/Monster/Dungeon1/soldierant.png,1,0
ENEM00003,SWOOPING BAT,200,20,2,15,Assets/Images/Monster/Dungeon1/swoopingbat.png,1,0
ENEM00004,DUNG BEETLE,200,25,2,20,Assets/Images/Monster/Dungeon1/dungbeetle.png,1,0
ENEM00005,BRAWNY OGRE,150,20,2,15,Assets/Images/Monster/Dungeon2/brawnyogre.png,2,0
ENEM00006,HUMONGOUS ETTIN,200,25,2,15,Assets/Images/Monster/Dungeon2/humongousettin.png,2,0
ENEM00007,OGRE MAGE,250,30,2,20,Assets/Images/Monster/Dungeon2/ogremage.png,2,0
ENEM00008,WRETCHED FOMORIAN,250,35,2,25,Assets/Images/Monster/Dungeon2/wretchfomorian.png,2,0
ENEM00009,EARTH ELEMENTAL,200,30,2,20,Assets/Images/Monster/Dungeon3/earthelemental.png,3,0
ENEM00010,FIRE ELEMENTAL,250,35,2,20,Assets/Images/Monster/Dungeon3/fireelemental.png,3,0
ENEM00011,GRIZZLED TRENT,300,40,3,25,Assets/Images/Monster/Dungeon3/grizzledtrent.png,3,0
ENEM00012,CORRUPTED TRENT,300,45,3,30,Assets/Images/Monster/Dungeon3/corruptedtrent.png,3,0
ENEM00013,POINTED DEMONSPAWN,300,40,3,25,Assets/Images/Monster/Dungeon4/pointeddemonspawn.png,4,0
ENEM00014,TAINTED DEMON,350,45,3,25,Assets/Images/Monster/Dungeon4/tainteddemon.png,4,0
ENEM00015,CRIMSON IMP,400,55,3,30,Assets/Images/Monster/Dungeon4/crimsonimp.png,4,0
ENEM00016,SKEWERING STALKER,400,60,3,35,Assets/Images/Monster/Dungeon4/skeweringstalker.png,4,0
BOSS00001,RHINO BEETLE,2000,20,2,20,Assets/Images/Boss/rhinobeetle.png,50,0
BOSS00002,STORM GIANT,3500,30,3,25,Assets/Images/Boss/stormgiant.png,100,0
BOSS00003,ADEPT NECROMANCER,5000,40,3,30,Assets/Images/Boss/adeptnecromancer.png,150,0
BOSS00004,WARP SKULL,7000,50,4,40,Assets/Images/Boss/warpskull.png,200,0
BOSS00005,SIR K9,10000,75,4,60,Assets/Images/Monster/Town/,300,0
